dataset,method,shots,seed,base_acc,new_acc,all_acc,hm,base_train_test_acc
caltech-101,cocoop,1,1,97.0948999354422,92.79475982532752,91.3995943204868,94.89614053892704,97.0948999354422
caltech-101,cocoop,4,1,98.06326662362817,93.66812227074236,93.50912778904666,95.81531851762492,98.06326662362817
caltech-101,cocoop,8,1,97.6113621691414,92.90393013100436,93.38742393509128,95.19948830844685,97.6113621691414
caltech-101,cocoop,16,1,98.06326662362817,92.5764192139738,93.63083164300204,95.24088377038244,98.06326662362817
caltech-101,coop,1,1,93.80245319561008,93.66812227074236,89.93914807302231,93.73523960616345,93.80245319561008
caltech-101,coop,4,1,97.4176888315042,95.85152838427948,94.27991886409735,96.62826290374406,97.4176888315042
caltech-101,coop,8,1,97.3531310522918,95.85152838427948,94.68559837728196,96.59649442792735,97.3531310522918
caltech-101,coop,16,1,98.19238218205294,92.46724890829694,92.7789046653144,95.24385830604936,98.19238218205294
dtd,cocoop,1,1,35.532407407407405,28.6231884057971,24.29078014184397,31.705754699714515,35.532407407407405
dtd,cocoop,4,1,56.25,38.888888888888886,37.29314420803782,45.985401459853534,56.25
dtd,cocoop,8,1,65.74074074074075,47.22222222222222,43.79432624113476,54.96357012750407,65.74074074074075
dtd,cocoop,16,1,71.99074074074075,50.84541062801932,47.57683215130024,59.5980700077377,71.99074074074075
dtd,coop,1,1,60.18518518518518,48.18840579710145,44.0307328605201,53.52278355621546,60.18518518518518
dtd,coop,4,1,71.52777777777777,49.8792270531401,44.8581560283688,58.77338417751202,71.52777777777777
dtd,coop,8,1,77.43055555555556,51.690821256038646,48.81796690307328,61.995141405874016,77.43055555555556
dtd,coop,16,1,78.81944444444444,51.44927536231884,49.23167848699764,62.25904894348468,78.81944444444444
eurosat,cocoop,1,1,61.73809523809524,44.05128205128205,29.03703703703704,51.4161689259761,61.73809523809524
eurosat,cocoop,4,1,76.52380952380952,49.82051282051282,41.32098765432099,60.350245467547545,76.52380952380952
eurosat,cocoop,8,1,80.45238095238095,56.0,50.23456790123457,66.0352469028088,80.45238095238095
eurosat,cocoop,16,1,90.38095238095238,49.12820512820513,56.629629629629626,63.65537642878352,90.38095238095238
eurosat,coop,1,1,75.45238095238095,70.66666666666667,58.358024691358025,72.98115257183157,75.45238095238095
eurosat,coop,4,1,78.21428571428571,73.15384615384616,59.55555555555556,75.59947729500115,78.21428571428571
eurosat,coop,8,1,85.0952380952381,71.51282051282051,64.07407407407408,77.7150364098481,85.0952380952381
eurosat,coop,16,1,87.83333333333333,68.61538461538461,67.80246913580247,77.04400557239973,87.83333333333333
fgvc_aircraft,cocoop,1,1,27.13085234093637,31.73365326934613,22.382238223822384,29.252299060800897,27.13085234093637
fgvc_aircraft,cocoop,4,1,30.07202881152461,29.394121175764848,23.462346234623464,29.72921095702239,30.07202881152461
fgvc_aircraft,cocoop,8,1,32.41296518607443,30.77384523095381,25.29252925292529,31.5721451210876,32.41296518607443
fgvc_aircraft,cocoop,16,1,35.35414165666266,25.0749850029994,23.582358235823584,29.340307260355683,35.35414165666266
flowers102,cocoop,1,1,65.4320987654321,70.0,62.80958181079984,67.639015496809,65.4320987654321
flowers102,cocoop,4,1,79.86704653371321,73.61702127659575,70.7673568818514,76.61478025507844,79.86704653371321
flowers102,cocoop,8,1,83.5707502374169,67.37588652482269,68.69671132764921,74.60455569685156,83.5707502374169
flowers102,cocoop,16,1,92.02279202279202,67.58865248226951,71.2545676004872,77.93547047660957,92.02279202279202
flowers102,coop,1,1,69.32573599240266,73.33333333333333,66.38246041412911,71.27324368703628,69.32573599240266
flowers102,coop,4,1,90.78822412155743,71.27659574468085,72.26958993097848,79.85786865318032,90.78822412155743
flowers102,coop,8,1,96.77113010446344,60.283687943262414,68.69671132764921,74.28897351447738,96.77113010446344
flowers102,coop,16,1,97.81576448243116,63.75886524822696,72.10718635809988,77.198037305534,97.81576448243116
food101,cocoop,1,1,88.5359477124183,89.31333333333333,83.45874587458746,88.92294153258406,88.5359477124183
food101,cocoop,4,1,89.62091503267973,90.28666666666666,85.13201320132013,89.95255903599934,89.62091503267973
food101,cocoop,8,1,90.05882352941177,90.98666666666666,85.86468646864687,90.52036753843636,90.05882352941177
food101,cocoop,16,1,90.2483660130719,91.5,86.27722772277228,90.86987323563736,90.2483660130719
food101,coop,1,1,88.81699346405229,87.12,82.29372937293729,87.96031258962235,88.81699346405229
food101,coop,4,1,88.67320261437908,88.96,83.46864686468646,88.8163697830731,88.67320261437908
food101,coop,8,1,89.16993464052288,88.22,83.12871287128714,88.69242383936081,89.16993464052288
food101,coop,16,1,89.15032679738562,86.06666666666666,82.04620462046205,87.5813619216006,89.15032679738562
